,Start,End,Start_r,End_r,Mean_Z-Score,Median_Z-Score,Sequence_id
0,0,50,0.0,0.0016806157776209202,1.1894423124489795,0.3171083,AY274119.3
1,50,100,0.0016806157776209202,0.0033612315552418405,4.982766445238094,2.162216,AY274119.3
2,100,150,0.0033612315552418405,0.005041847332862761,23.5872633027619,3.206895,AY274119.3
3,150,200,0.005041847332862761,0.006722463110483681,2.8559474321875,2.237965,AY274119.3
4,200,250,0.006722463110483681,0.008403078888104602,10.81916707096774,4.0384185,AY274119.3
5,250,300,0.008403078888104602,0.010083694665725522,13.349194464615385,0.443137,AY274119.3
6,300,350,0.010083694665725522,0.011764310443346443,17.7940519859375,6.179202500000001,AY274119.3
7,350,400,0.011764310443346443,0.013444926220967362,19.167674525846152,3.391945,AY274119.3
8,400,450,0.013444926220967362,0.015125541998588283,3.9415434767213107,2.283686,AY274119.3
9,450,500,0.015125541998588283,0.016806157776209203,3.066956393846154,2.442981,AY274119.3
10,500,550,0.016806157776209203,0.018486773553830122,2.950097904615385,2.511221,AY274119.3
11,550,600,0.018486773553830122,0.020167389331451045,26.27739274354839,3.172541,AY274119.3
12,600,650,0.020167389331451045,0.021848005109071963,21.161129193384618,2.258575,AY274119.3
13,650,700,0.021848005109071963,0.023528620886692886,1.0400276396721313,0.3435214,AY274119.3
14,700,750,0.023528620886692886,0.025209236664313805,0.8292083711111112,0.3521456,AY274119.3
15,750,800,0.025209236664313805,0.026889852441934724,6.595415925806452,4.951860999999999,AY274119.3
16,800,850,0.026889852441934724,0.028570468219555646,4.379265687868853,3.360118,AY274119.3
17,850,900,0.028570468219555646,0.030251083997176565,1847.12575633,7.262165,AY274119.3
18,900,950,0.030251083997176565,0.031931699774797484,4.678456346451611,0.45459295,AY274119.3
19,950,1000,0.031931699774797484,0.033612315552418406,3.9508561830769238,2.829212,AY274119.3
20,1000,1050,0.033612315552418406,0.03529293133003933,2.7538622896721305,2.067976,AY274119.3
21,1050,1100,0.03529293133003933,0.036973547107660244,1.2064792809523812,0.3145546,AY274119.3
22,1100,1150,0.036973547107660244,0.03865416288528117,3.5202945987142855,0.1425619,AY274119.3
23,1150,1200,0.03865416288528117,0.04033477866290209,25.860354068852455,6.724866,AY274119.3
24,1200,1250,0.04033477866290209,0.042015394440523005,2.9399873723076926,2.095878,AY274119.3
25,1250,1300,0.042015394440523005,0.04369601021814393,12.294576539180326,2.817236,AY274119.3
26,1300,1350,0.04369601021814393,0.04537662599576485,6.352098475761905,2.245985,AY274119.3
27,1350,1400,0.04537662599576485,0.04705724177338577,2.2024412336065575,2.178583,AY274119.3
28,1400,1450,0.04705724177338577,0.04873785755100669,1.953859168852459,2.20034,AY274119.3
29,1450,1500,0.04873785755100669,0.05041847332862761,4.013153559193548,2.2850495,AY274119.3
30,1500,1550,0.05041847332862761,0.05209908910624853,11.177555760317459,4.757376,AY274119.3
31,1550,1600,0.05209908910624853,0.05377970488386945,2.0615697047619044,2.242858,AY274119.3
32,1600,1650,0.05377970488386945,0.05546032066149037,2.903244505238095,0.3464978,AY274119.3
33,1650,1700,0.05546032066149037,0.05714093643911129,0.31528750419354834,0.22403214999999999,AY274119.3
34,1700,1750,0.05714093643911129,0.05882155221673221,1.202956064923077,0.3139176,AY274119.3
35,1750,1800,0.05882155221673221,0.06050216799435313,0.6256831812903225,0.14387054999999999,AY274119.3
36,1800,1850,0.06050216799435313,0.06218278377197405,1.5023554890322581,0.31345115,AY274119.3
37,1850,1900,0.06218278377197405,0.06386339954959497,4.002526895806452,2.696707,AY274119.3
38,1900,1950,0.06386339954959497,0.06554401532721589,463.81020153180333,0.4545009,AY274119.3
39,1950,2000,0.06554401532721589,0.06722463110483681,0.9726211233870967,0.38312145,AY274119.3
40,2000,2050,0.06722463110483681,0.06890524688245774,2.1326738065625,1.24947695,AY274119.3
41,2050,2100,0.06890524688245774,0.07058586266007866,1.4142697085245903,0.3593353,AY274119.3
42,2100,2150,0.07058586266007866,0.07226647843769958,1.5827902316129032,0.37229504999999996,AY274119.3
43,2150,2200,0.07226647843769958,0.07394709421532049,1.6102262742622948,0.4700961,AY274119.3
44,2200,2250,0.07394709421532049,0.07562770999294141,1.5822336184126986,0.2937556,AY274119.3
45,2250,2300,0.07562770999294141,0.07730832577056233,0.78678585640625,0.29109595,AY274119.3
46,2300,2350,0.07730832577056233,0.07898894154818326,3.923255492295082,2.156398,AY274119.3
47,2350,2400,0.07898894154818326,0.08066955732580418,2.720974397741936,0.41946170000000005,AY274119.3
48,2400,2450,0.08066955732580418,0.0823501731034251,6.811020004918032,3.219996,AY274119.3
49,2450,2500,0.0823501731034251,0.08403078888104601,2.1465400329508197,0.4879741,AY274119.3
50,2500,2550,0.08403078888104601,0.08571140465866693,1.72347218852459,0.4677756,AY274119.3
51,2550,2600,0.08571140465866693,0.08739202043628785,6.322663907936508,2.621141,AY274119.3
52,2600,2650,0.08739202043628785,0.08907263621390878,3.869000765245902,2.804685,AY274119.3
53,2650,2700,0.08907263621390878,0.0907532519915297,2.8170498876190475,0.2513167,AY274119.3
54,2700,2750,0.0907532519915297,0.09243386776915062,5.064423651475411,0.332529,AY274119.3
55,2750,2800,0.09243386776915062,0.09411448354677154,0.9598609268852459,0.364044,AY274119.3
56,2800,2850,0.09411448354677154,0.09579509932439245,2.7741100721875,2.5790154999999997,AY274119.3
57,2850,2900,0.09579509932439245,0.09747571510201337,5.279191083770493,0.4659914,AY274119.3
58,2900,2950,0.09747571510201337,0.0991563308796343,1.199772222923077,0.3515627,AY274119.3
59,2950,3000,0.0991563308796343,0.10083694665725522,1.8477899063076924,0.4546788,AY274119.3
60,3000,3050,0.10083694665725522,0.10251756243487614,4.461305475838711,0.2980667,AY274119.3
61,3050,3100,0.10251756243487614,0.10419817821249706,1.8214973193548387,1.27338605,AY274119.3
62,3100,3150,0.10419817821249706,0.10587879399011797,2.883694141129032,0.4180155,AY274119.3
63,3150,3200,0.10587879399011797,0.1075594097677389,0.41749176384615383,0.2481809,AY274119.3
64,3200,3250,0.1075594097677389,0.10924002554535982,0.7338868039682539,0.2556264,AY274119.3
65,3250,3300,0.10924002554535982,0.11092064132298074,1.2920993150952382,0.1658751,AY274119.3
66,3300,3350,0.11092064132298074,0.11260125710060166,1.7309189798571427,0.3051364,AY274119.3
67,3350,3400,0.11260125710060166,0.11428187287822258,3.274851090322581,2.175955,AY274119.3
68,3400,3450,0.11428187287822258,0.11596248865584351,6.984187475806452,2.5156545,AY274119.3
69,3450,3500,0.11596248865584351,0.11764310443346442,0.936625741967213,0.2409225,AY274119.3
70,3500,3550,0.11764310443346442,0.11932372021108534,4.213346268125,0.40722970000000003,AY274119.3
71,3550,3600,0.11932372021108534,0.12100433598870626,3.3916375142622956,2.541568,AY274119.3
72,3600,3650,0.12100433598870626,0.12268495176632718,2.9225489428571425,2.956565,AY274119.3
73,3650,3700,0.12268495176632718,0.1243655675439481,152.92300086375002,4.962477,AY274119.3
74,3700,3750,0.1243655675439481,0.12604618332156903,51.90187376887097,2.9177955,AY274119.3
75,3750,3800,0.12604618332156903,0.12772679909918994,1.7359288087692308,0.4321726,AY274119.3
76,3800,3850,0.12772679909918994,0.12940741487681087,1.4335904030952382,0.4659022,AY274119.3
77,3850,3900,0.12940741487681087,0.13108803065443178,2.863974121904762,2.477757,AY274119.3
78,3900,3950,0.13108803065443178,0.13276864643205272,0.7873144608196723,0.1721543,AY274119.3
79,3950,4000,0.13276864643205272,0.13444926220967363,1.017032927704918,0.2984089,AY274119.3
80,4000,4050,0.13444926220967363,0.13612987798729453,2.9633584528125,2.5848500000000003,AY274119.3
81,4050,4100,0.13612987798729453,0.13781049376491547,1.629397443076923,0.3596709,AY274119.3
82,4100,4150,0.13781049376491547,0.13949110954253638,0.9367910692063491,0.3863374,AY274119.3
83,4150,4200,0.13949110954253638,0.14117172532015732,5.358719132857144,3.132374,AY274119.3
84,4200,4250,0.14117172532015732,0.14285234109777822,2.119821488064516,2.179861,AY274119.3
85,4250,4300,0.14285234109777822,0.14453295687539916,1.4000585575409832,0.4534338,AY274119.3
86,4300,4350,0.14453295687539916,0.14621357265302007,1.7311317711111114,0.2754121,AY274119.3
87,4350,4400,0.14621357265302007,0.14789418843064098,5.821478716065573,0.4725069,AY274119.3
88,4400,4450,0.14789418843064098,0.1495748042082619,1.2308736331746029,0.4260055,AY274119.3
89,4450,4500,0.1495748042082619,0.15125541998588282,0.7740812449375,0.23937185,AY274119.3
90,4500,4550,0.15125541998588282,0.15293603576350376,1.4960293640625,0.38295115,AY274119.3
91,4550,4600,0.15293603576350376,0.15461665154112467,25.98940291228125,3.763548,AY274119.3
92,4600,4650,0.15461665154112467,0.15629726731874558,1.282788636229508,0.4902113,AY274119.3
93,4650,4700,0.15629726731874558,0.1579778830963665,0.9750027013846154,0.3964203,AY274119.3
94,4700,4750,0.1579778830963665,0.15965849887398742,1.6101242732258063,0.30466485,AY274119.3
95,4750,4800,0.15965849887398742,0.16133911465160836,3.9410459271875,3.7659215,AY274119.3
96,4800,4850,0.16133911465160836,0.16301973042922926,2.04803673523077,0.4375604,AY274119.3
97,4850,4900,0.16301973042922926,0.1647003462068502,2.268933331147541,0.2498175,AY274119.3
98,4900,4950,0.1647003462068502,0.1663809619844711,8.062594916393442,4.532362,AY274119.3
99,4950,5000,0.1663809619844711,0.16806157776209202,2.9633072698412697,2.647219,AY274119.3
100,5000,5050,0.16806157776209202,0.16974219353971295,1.0450686244444443,0.403529,AY274119.3
101,5050,5100,0.16974219353971295,0.17142280931733386,1.5295805652459018,0.4474823,AY274119.3
102,5100,5150,0.17142280931733386,0.1731034250949548,5.26098245704918,2.099023,AY274119.3
103,5150,5200,0.1731034250949548,0.1747840408725757,1.1667275293174602,0.2264209,AY274119.3
104,5200,5250,0.1747840408725757,0.17646465665019664,0.57856901765625,0.1883441,AY274119.3
105,5250,5300,0.17646465665019664,0.17814527242781755,7.252340259836065,0.3139176,AY274119.3
106,5300,5350,0.17814527242781755,0.17982588820543846,11.576853552187501,4.1324585,AY274119.3
107,5350,5400,0.17982588820543846,0.1815065039830594,1.1445450259016392,0.2486784,AY274119.3
108,5400,5450,0.1815065039830594,0.1831871197606803,2.5200893177049184,2.342688,AY274119.3
109,5450,5500,0.1831871197606803,0.18486773553830124,4.036590788307692,2.822549,AY274119.3
110,5500,5550,0.18486773553830124,0.18654835131592215,13.28626673260656,3.09112,AY274119.3
111,5550,5600,0.18654835131592215,0.1882289670935431,38.23559785295081,2.198189,AY274119.3
112,5600,5650,0.1882289670935431,0.189909582871164,2.564644305,0.40675295,AY274119.3
113,5650,5700,0.189909582871164,0.1915901986487849,7.069214785483869,3.2937365,AY274119.3
114,5700,5750,0.1915901986487849,0.19327081442640584,1.4532179398387097,0.43672055,AY274119.3
115,5750,5800,0.19327081442640584,0.19495143020402675,0.8009030619047621,0.3602586,AY274119.3
116,5800,5850,0.19495143020402675,0.19663204598164769,1.8553452983870968,0.393526,AY274119.3
117,5850,5900,0.19663204598164769,0.1983126617592686,1.4352474237049182,0.2195913,AY274119.3
118,5900,5950,0.1983126617592686,0.19999327753688953,0.7325689492786883,0.3630333,AY274119.3
119,5950,6000,0.19999327753688953,0.20167389331451044,2.4773065983934424,0.4818911,AY274119.3
120,6000,6050,0.20167389331451044,0.20335450909213135,0.919107378451613,0.37659305,AY274119.3
121,6050,6100,0.20335450909213135,0.20503512486975228,0.9361699095238095,0.3969393,AY274119.3
122,6100,6150,0.20503512486975228,0.2067157406473732,1.1111571025396825,0.3525622,AY274119.3
123,6150,6200,0.2067157406473732,0.20839635642499413,1.3009995293650793,0.3927924,AY274119.3
124,6200,6250,0.20839635642499413,0.21007697220261504,1.3056388225806452,0.44243330000000003,AY274119.3
125,6250,6300,0.21007697220261504,0.21175758798023595,2.2548209175409837,0.2806816,AY274119.3
126,6300,6350,0.21175758798023595,0.21343820375785688,1.6796747491803279,0.4012715,AY274119.3
127,6350,6400,0.21343820375785688,0.2151188195354778,1.382158070327869,0.3191897,AY274119.3
128,6400,6450,0.2151188195354778,0.21679943531309873,1.2885588263934429,0.4143388,AY274119.3
129,6450,6500,0.21679943531309873,0.21848005109071963,2.307628149344262,2.207683,AY274119.3
130,6500,6550,0.21848005109071963,0.22016066686834057,1.0620640829508197,0.2106718,AY274119.3
131,6550,6600,0.22016066686834057,0.22184128264596148,0.8240506903278689,0.2174733,AY274119.3
132,6600,6650,0.22184128264596148,0.2235218984235824,0.4208409364516129,0.2096768,AY274119.3
133,6650,6700,0.2235218984235824,0.22520251420120332,5.565287278064517,2.6743875,AY274119.3
134,6700,6750,0.22520251420120332,0.22688312997882423,2.3262811162499997,2.10365,AY274119.3
135,6750,6800,0.22688312997882423,0.22856374575644517,0.3482856353492064,0.1324506,AY274119.3
136,6800,6850,0.22856374575644517,0.23024436153406608,2.2233809926349206,0.4427826,AY274119.3
137,6850,6900,0.23024436153406608,0.23192497731168701,1.561821313096774,2.1038365,AY274119.3
138,6900,6950,0.23192497731168701,0.23360559308930792,1.4889022741935485,0.4218788,AY274119.3
139,6950,7000,0.23360559308930792,0.23528620886692883,1.1495286233333333,0.3393215,AY274119.3
140,7000,7050,0.23528620886692883,0.23696682464454977,0.6182711685245903,0.2742893,AY274119.3
141,7050,7100,0.23696682464454977,0.23864744042217068,0.5571089424590164,0.3033306,AY274119.3
142,7100,7150,0.23864744042217068,0.2403280561997916,0.8438139603125,0.24102835,AY274119.3
143,7150,7200,0.2403280561997916,0.24200867197741252,2.3540565563934424,2.781804,AY274119.3
144,7200,7250,0.24200867197741252,0.24368928775503346,2.235862728888889,0.1650938,AY274119.3
145,7250,7300,0.24368928775503346,0.24536990353265437,1.355320353387097,0.13411685,AY274119.3
146,7300,7350,0.24536990353265437,0.24705051931027527,3.392627666229508,2.61352,AY274119.3
147,7350,7400,0.24705051931027527,0.2487311350878962,2.3036462431746028,2.171,AY274119.3
148,7400,7450,0.2487311350878962,0.25041175086551715,44.743823166666665,5.817034,AY274119.3
149,7450,7500,0.25041175086551715,0.25209236664313805,46.0050492401613,3.5173069999999997,AY274119.3
150,7500,7550,0.25209236664313805,0.25377298242075896,2.6179137903125,2.415725,AY274119.3
151,7550,7600,0.25377298242075896,0.25545359819837987,1.8248956827419354,0.4686707,AY274119.3
152,7600,7650,0.25545359819837987,0.2571342139760008,1.206173867147541,0.2073185,AY274119.3
